Industry,01-04-2021,05-04-2021,06-04-2021,07-04-2021,08-04-2021,09-04-2021,12-04-2021,13-04-2021,14-04-2021,15-04-2021,16-04-2021,19-04-2021,20-04-2021,21-04-2021,22-04-2021,23-04-2021,26-04-2021,27-04-2021,28-04-2021,29-04-2021
Accident &Health Insurance,73.24999809100001,73.640001301,72.920001027,73.180000305,74.12000179,75.20000362,75.80000305,75.06000328,74.490001683,74.129997255,74.60000038,74.87999725,75.83000279,79.34000302,76.66000271,79.16000176,77.38000106999999,75.46000194999999,74.9100008,72.50000191
Advertising,426.960005555,434.4800071530001,430.16999886700006,427.89000797399996,427.48000649799997,427.070004688,426.43000431400003,423.44999721799996,426.73999924700007,429.12999842299996,431.50000739200004,429.98000589200007,424.37999695900004,429.690003185,432.1849932579999,437.75999638999997,448.330001842,452.32999973200003,454.18998670599996,466.21999148599997
Aerospace,221.55999949800002,223.10999967200001,218.46000270000002,214.82000394199997,217.41000481799998,216.620002984,213.72000021899999,214.369999855,212.490003077,211.36000025,210.420001238,206.97999977400002,203.69000450800002,208.50999996299998,211.45999861099997,214.90000249599998,216.23000202500003,214.32999725,213.200000743,211.600001102
Agricultural Chemicals,3.720000029,3.779999971,3.789999962,3.779999971,3.799999952,3.799999952,3.7699999810000002,3.589999914,3.75,3.75999999,3.789999962,3.8800001139999996,3.910000086,3.839999914,3.950000048,3.839999914,3.8800001139999996,4.0500001910000005,4.099999905,3.8299999239999996
Air Freight/Delivery Services,547.6899986599999,553.42000388,556.3499965599999,549.5599938199999,548.8399906499999,547.18000405,535.96999938,535.13000109,536.05999568,534.4500046100001,529.73999787,525.5500012000001,502.90999796000006,517.9899997,510.60999673,527.08000185,533.0900019899999,531.2600041000001,523.9700069300001,528.04999736
Aluminum,128.3799973,129.47999955,125.74000259,124.56000133999999,126.87999824,125.98000341,125.23000048000002,125.54999633999999,128.29999728,130.09000203,132.01999858000002,127.9800034,123.81000229,128.29999924,125.66999819000002,128.76000313,132.70999713,135.77000046,140.37999729,136.30000113
Apparel,121.149998446,124.45999862899998,124.700000753,123.27000091500001,122.66999913999999,125.01999998499998,124.209999559,122.989997892,124.25000233899999,124.33999921199998,126.71000190999999,126.85999826800001,124.03999926399999,126.65999774599999,127.92999936199999,129.899997985,127.75999661499999,130.02000232,129.429996923,129.960001439
Assisted Living Services,28.61000061,28.63999939,28.43000031,28.29000092,28.29000092,28.80999947,28.76000023,28.5,28.80999947,28.79999924,28.98999977,28.5,27.93000031,31.62000084,31.17000008,31.95999908,31.69000053,31.28000069,31.19000053,29.93000031
Auto Manufacturing,753.77999878,785.0099868799999,784.46999357,763.4399719200001,776.6399841399999,770.38002011,797.26998142,857.0400085199999,825.84998325,833.87997438,834.7000274699999,807.9800033700001,811.0899886700001,837.74999235,811.90000148,822.7500228700001,831.54000854,796.0199889800001,785.08002471,768.90000153
Auto Parts:O.E.M.,313.429995282,313.12000204099996,314.019999057,309.919999851,309.009997873,312.190003603,312.41999819,308.799995369,313.690001249,314.71000054500007,317.259993032,316.039996429,309.439995303,319.2799983,315.67999697199997,317.949996916,305.090001114,302.04999995000003,305.97999452899995,302.880000066
