Name,Industry,01-04-2021,05-04-2021,06-04-2021,07-04-2021,08-04-2021,09-04-2021,12-04-2021,13-04-2021,14-04-2021,15-04-2021,16-04-2021,19-04-2021,20-04-2021,21-04-2021,22-04-2021,23-04-2021,26-04-2021,27-04-2021,28-04-2021,29-04-2021
AMSF,Accident &Health Insurance,63.75999832,63.90000153,63.20000076,63.25,63.99000168,65.16000366,65.80000305,64.98000336,64.65000153,64.44999695,64.5,64.87999725,64.62000275,65.12000275,64.30000305,64.26000214,62.65000153,61.90000153,62.36000061,62.40000153
TIPT,Accident &Health Insurance,9.489999771,9.739999771,9.720000267,9.930000305,10.13000011,10.03999996,10,10.07999992,9.840000153,9.680000305,10.10000038,10,11.21000004,14.22000027,12.35999966,14.89999962,14.72999954,13.56000042,12.55000019,10.10000038
CNET,Advertising,2.680000067,2.589999914,2.50999999,2.480000019,2.519999981,2.480000019,2.630000114,2.420000076,2.200000048,2.099999905,1.99000001,1.830000043,1.75999999,1.809999943,1.970000029,2.00999999,2.119999886,2.049999952,2.059999943,2.039999962
CRTO,Advertising,36.13999939,35.65000153,35.36000061,35.63000107,35.83000183,35.93999863,37.54000092,38.06000137,36.97000122,37.24000168,37.40000153,35.45000076,36.15000153,36.95999908,36.60499954,36.58000183,38.77000046,38.54999924,38.70999908,40.16999817
GRPN,Advertising,49.97000122,50.15000153,50.84999847,50.13000107,48.61000061,48.72999954,47.36999893,48.06999969,49.52000046,51.13999939,49.74000168,49.08000183,45.84999847,45.20000076,45.04999924,45.52000046,46.65999985,48.18999863,50.47000122,52.59000015
ISIG,Advertising,6.329999924,6.360000134,6.349999905,7.190000057,6.440000057,6.010000229,5.400000095,5.03000021,5,4.900000095,4.880000114,5.070000172,5.010000229,5.230000019,5.239999771,5.329999924,5.329999924,5.309999943,5.559999943,5.5
MORN,Advertising,233.0200043,236.6900024,235.2200012,232.1000061,233.4100037,233.4600067,233.4400024,232.3099976,234.5899963,234.7299957,237.2400055,237.6600037,235.6999969,238.1600037,241.5099945,245.9799957,252.5,255.6600037,256.0499878,265.2099915
NCMI,Advertising,4.5,4.699999809,4.659999847,4.519999981,4.619999886,4.489999771,4.489999771,4.179999828,4.400000095,4.260000229,4.349999905,4.429999828,4.269999981,4.389999866,4.670000076,4.639999866,4.75,4.679999828,4.519999981,4.440000057
PRAA,Advertising,37.68000031,37.04000092,35.88999939,36.5,36.52000046,36.72999954,37.24000168,36.70999908,36.56000137,36.65000153,37.09999847,36.84999847,37.20999908,38.09999847,37.20000076,37.36999893,37.65000153,37.13999939,37.52999878,37.63000107
QNST,Advertising,20.70000076,21.18000031,20.80999947,20.04999924,20.30999947,20.15999985,20.19000053,20,19.95999908,20.12999916,20.20000076,19.93000031,19.44000053,19.87000084,20.09000015,20.51000023,20.62000084,20.54999924,20.72999954,20.32999992
